#,Short Name,Full Description,Report Date,Owner,Priority,Status,Source,Dev,Story in Sprint 5,Source
11,Fulfillment/Shipping  must be able to mark items picked up or shipped,"The fulfillment interface needs to let reception staff mark individual items as picked up or shipped.  This must be done on a product level not a client level. Julia's position: the Apparel Magic invoice indicates fulfilment, but manual checkboxes are still needed to record that the gown is physically in the bride's hands or that a 3PL has collected the box - currently that is either untracked or tracked via ad-hoc Slack messages.",2026-08-21T00:00:00,Singular,,Open,,Alonso,,
12,Fulfilment Progress Percentage - formula and Apparel Magic data problem,"Axel proposed a fulfilment_progress_percentage built from quantity_open_total and order_items_total_quantity; Nadiia corrected it to (total - open) / total * 100. Investigation then found picked items in Apparel Magic are still marked open, and some order items show quantity_open = 0 with quantity_shipped = 0, probably items picked up rather than shipped. Julia noted the picked % resets to 0 once an order is invoiced or shipped, so a shipped % is also needed at order-item level.",2026-08-21T00:00:00,Singular x Cobalt,,Open,Slack - #danielle-frankel-developmen,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-21, Axel Nava, Nadiia and Julia Shao Collins"
13,Pickup orders arriving in Airtable as Shipping,"Several orders that appear as Pickup in Apparel Magic are coming through as Shipping in Airtable. Examples supplied: 73971, 73963, 73924, 73915, 73905, 73890, 74100, 74045, 74027.",2026-08-21T00:00:00,Singular x Cobalt,,In Progress,Slack - #danielle-frankel-developmen,Alonso,,"Slack - #danielle-frankel-developmen, 2026-08-21, Alonso Guerrero"
14,Two independent fulfilment-method fields with different logic,"Client > Fulfilment Method is set from the client's Shopify address when the client is created: a NY address gives 'Pick Up - New York', an LA address gives 'Pick Up - Melrose', anything else gives 'Ship (Shopify Address)'. Order > Delivery Method is set from the individual order's shipping_address when the order is created and is binary, 'Pick Up in Store' or 'Ship'. Two similar fields with different sources, which may explain pickup/shipping mismatches. ",2026-08-21T00:00:00,Cobalt,,Done,Slack - #danielle-frankel-developmen,,,"Slack - #danielle-frankel-developmen, 2026-08-21, Nadiia"
15,Batch-close clients with past wedding dates,Julia asked for a batch update moving all clients with wedding dates in the past into the Closed phase - there is no reason for 2025 weddings to sit on the Order Ready page. Separately agreed that interfaces should hide past brides by default with a filter to view historical records. Axel confirmed and said he would report back. Must ensure all wedding dates are correct before batch update.,2026-08-20T00:00:00,Singular x Cobalt,,In Progress,From Julia,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-20, Julia Shao Collins; Granola - Danielle Frankel Studio Stand Up, 2026-08-20"
16,Airtable as scheduling front end for Acuity,"Julia wants Acuity to remain the backend but Airtable to be the internal front end - entering sales associate and room in Airtable, and creating or dragging appointments there the way you would in Google Calendar. Sync is currently one-way, Acuity to Airtable. Nadiia flagged that write-back risks an update loop and that Acuity has strict custom-field limits. Julia believes we should be able to move appointment times, create appointments, change the sales associate and the room in airtable and that should create a record in acuity",2026-08-20T00:00:00,Singular x Cobalt,,Open,From Julia,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-20, Julia Shao Collins, Nadiia and Axel Nava"
17,"Recap tied to appointment rather than client, with password access","Recap links to be tied to a specific appointment rather than to the client, so a client with appointments across multiple collections can still reference an earlier customization. Access via record ID plus client first name as credentials, with a pre-populated URL the sales associate can send. Needed because a client may hold several packages over their lifetime and more than one client can share a first name.",2026-08-17T00:00:00,Cobalt,,In Progress,From Julia,,,"Slack - #danielle-frankel-developmen, 2026-08-17, Julia Shao Collins, Nick Rose and Rob Dukarski"
18,Three-table structure for recap and customization data,"Cobalt proposed a Package / Post-Appointment Recap / Customization Proposals table structure in Airtable mirroring the Shopify metaobject model, so Shopify only needs to pull from the Package table which references the others. Full field list shared in Slack on Aug 20. The Customization Proposals table is currently empty in sandbox and Singular is to confirm where that data is actually stored.",2026-08-20T00:00:00,Singular x Cobalt,,Open,Slack - #danielle-frankel-developmen,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-20, Rob Dukarski; Granola - Airtable Sync - Cobalt <> DF, 2026-08-21, Nick Rose"
19,Sync to Shopify' button replaces PDF generation,"PDF generation to be replaced by a 'Sync to Shopify' button that pushes the record to Shopify and returns a permanent per-appointment URL stored back in Airtable. Companion buttons proposed: View Page so the sales associate sees what the client sees, Preview Email, and Send Update.",2026-08-17T00:00:00,Singular x Cobalt,,In Progress,Granola - DFS - Cobalt X Singular,Axel,,"Granola - DFS - Cobalt X Singular, 2026-08-17; Slack - #danielle-frankel-developmen, 2026-08-17, Rob Dukarski"
20,Recap email must send from the sales associate's own address,"In future state when email is pushed from Airtable, Julia wants the recap email to come from the individual sales associate's email, always CC atelier@daniellefrankelstudio.com, with the client able to reply directly, to preserve the high-touch luxury experience. I don't think this is how we will kick off Airtable with automated emails coming through but wanted to flag",2026-08-17T00:00:00,Singular x Cobalt,,Open,From Julia,,,"Granola - DFS - Cobalt X Singular, 2026-08-17; Slack - #df-cobalt-website, 2026-08-17, Julia Shao Collins"
21,Do not connect Airtable to Klaviyo yet,Julia instructed that Airtable must not be connected to Klaviyo at this time - the Klaviyo pilot should reskin existing Shopify and Acuity flows only. She is concerned about unreliable Airtable data feeding external client communications and wants that fixed first. Cobalt subsequently deprioritised Airtable-driven Klaviyo flows and asked Julia for a client cutoff date; an Acuity export is preferred over an Airtable pull for now given QA concerns.,2026-08-21T00:00:00,Cobalt,,Blocked,From Julia,,,"Slack - #df-cobalt-website, 2026-08-21, Julia Shao Collins; Granola - Airtable Sync - Cobalt <> DF, 2026-08-21"
22,"Waitlist feedback - multi-select times, mandatory email, appointment type","Julia's feedback on the waitlist build: make time requested a multi-select of morning, afternoon and evening; make email mandatory as the unique identifier rather than name; add ghost text in notes prompting for style detail or specific times the client needs; capture the appointment type being waitlisted, since waitlists include second and third appointments and alterations, letting the sales associate either tag an existing client or enter a new email. Logic agreed: if a client with the same email books within a week of their earliest available date they drop off the waitlist; if the requested window passes they fade away but are flagged in the backup view. Axel confirmed all points and noted the roughly 95 historical records without an email will not be retroactively cleaned up.",2026-08-13T00:00:00,Singular,,In Progress,From Julia,Axel,,"Slack - #danielle-frankel-studios_agile, 2026-08-13, Julia Shao Collins and Axel Nava"
23,Unique traceable identifier per customization proposal,"Julia asked that each customization proposal carry a unique, traceable identifier referenced in the Shopify line-item note, e.g. 'Julia Collins - Ada - August 14th, 2026'. An existing customization_id formula field builds from gown name and date; the dev replying offered to add a field matching Julia's format instead. Julia's requirement was that it simply be traceable.",2026-08-17T00:00:00,Singular,,In Progress,From Julia,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-17, Julia Shao Collins"
24,Draft order product naming convention,"Regular customizations should use 'Name of Gown - Customized', e.g. 'Ada - Customized'. Hybrid should use the Custom Gown product. Full Custom should use Custom Gown. Answered in response to the dev question about whether a separate Hybrid Gown product needed creating.",2026-08-17T00:00:00,Singular,,Done,From Julia,Axel,,"Slack - #danielle-frankel-developmen, 2026-08-17, Julia Shao Collins"
25,Draft orders creatable with unapproved customizations but not sendable,"Julia asked that draft orders be creatable with unapproved customizations while blocking the send-to-Shopify step until the customization is approved. Her reasoning: production approval from Margo matters more contractually than client approval, and approvals arriving over email create rework. Axel confirmed alignment.",2026-08-12T00:00:00,Singular,,In Progress,From Julia,Axel,,"Slack - #danielle-frankel-studios_agile, 2026-08-12, Julia Shao Collins and Axel Nava"
26,Additional draft order fields required,"Fields needed on the draft order: Size (00-24 single select plus 'Split Size' and 'Made-to-Measure'), Wedding Date, Studio, and Sales Associate. Julia also asked that size and style name resolve to the exact item/SKU, since sizing forms part of the SKU. The address field is to be removed - shipping address and tax will be handled in Shopify, not Airtable, because Shopify has a compliant tax plug-in. If we do use address in Airtable it should be the address that the client confirms in the recap document - Axel, ask Nick and Rob about this.",2026-08-12T00:00:00,Singular,,In Progress,From Julia,Axel,,"Slack - #danielle-frankel-studios_agile, 2026-08-12, Julia Shao Collins and Axel Nava"
27,Shopify variants (colour and size) syncing to Airtable,"Shopify variants are now syncing into Airtable for use in the draft order interface. The interface will include a store selector for NY versus LA and a variant selector, and colour should be added to the recap display going forward.",2026-08-21T00:00:00,Cobalt,,In Progress,Granola - Airtable Sync - Cobalt <> DF,,,"Granola - Airtable Sync - Cobalt <> DF, 2026-08-21, Nadiia"
28,Field editability report across all interfaces,"Singular to produce a report listing every synced field, whether it is currently editable in Airtable, and whether the fix sits with Singular or Cobalt. Principle agreed: fields synced from Acuity, Shopify or Apparel Magic should not be editable in Airtable, with noted exceptions such as wedding date.",2026-08-20T00:00:00,Singular,,Open,Alonso,,Granola - Danielle Frankel Studio Stand Up,
29,Mid-sync backfill gap hypothesis,"Axel's hypothesis: records created during sync windows were never backfilled - the oldest and newest records look correct while mid-sync records are missing fields. Nadiia had already run a partial backfill for missing Apparel Magic order IDs, recovering 5 of 401. Agreed that any fix must also produce a sustainable ongoing sync rather than a one-time cleanup. Note: the specific evidence record Axel cited (Maya Steinberger) later turned out to be an Airtable rendering issue rather than missing data, so the underlying hypothesis is still unproven.",2026-08-21T00:00:00,Singular x Cobalt,1. Critical,Open,Granola - DFS - Cobalt X Singular,Axel,,"Granola - DFS - Cobalt X Singular, 2026-08-21, Axel Nava and Nadiia; Slack - #danielle-frankel-developmen, 2026-08-21"
30,Vivian Chen phantom order item,"Vivian Chen's record shows a 'Chloe Customized' item in her order with no corresponding record in Shopify or Apparel Magic, and her sales associate does not believe the Chloe was ever tried on. Her wedding date has passed and the order showed 50% picked, later showing 100% picked with a pending status and an unrecognisable AM ID. Working theory is either a cancelled customization that never synced back or a bad sync run that created the record.",2026-08-20T00:00:00,Singular x Cobalt,1. Critical,Open,From Julia,,,"Slack - #danielle-frankel-developmen, 2026-08-20, Julia Shao Collins; Granola - Danielle Frankel Studio Stand Up, 2026-08-20; Granola - DFS - Cobalt X Singular, 2026-08-21"
31,Recurring automation failure - LINK FAVORITE STYLES FROM ACUITY TO SAMPLES,The Airtable automation 'LINK FAVORITE STYLES FROM ACUITY TO SAMPLES' in the Danielle Frankel DTC Customers base has failed once daily at approximately 4:15 AM UTC every day from Aug 14 through Aug 22. Not raised by either dev team in any channel or meeting reviewed in this window.,2026-08-22T00:00:00,,,Open,Gmail - Airtable automation alerts,,,"Gmail - noreply@airtable.com, daily 2026-08-14 to 2026-08-22"
32,Automation failure - New Customization Request Notification,The Airtable automation 'New Customization Request Notification' failed twice on Aug 13 and three times on Aug 14 in the Danielle Frankel DTC Customers base. Not raised by either dev team in any channel or meeting reviewed in this window.,2026-08-14T00:00:00,,,Open,Gmail - Airtable automation alerts,,,"Gmail - noreply@airtable.com, 2026-08-13 and 2026-08-14"
33,Wedding date edit permissions after confirmation,"Wedding date to remain editable by sales associates at all times until 'confirmed' is clicked; initially said that after confirmation only Margo, Rachel and Chelsea can change it. Make it so everyone can update the wedding date after it is confirmed, but there should be a pop up that says are you sure you want to update this is a confirmed wedding date. Axel to build a simple back-office page for post-confirmation date changes so those three do not need Airtable access.",2026-08-10T00:00:00,Singular,,Open,From Julia,Axel,,"Granola - Recap document, customization requests, and order fulfillment workflow with Axel and Nadia, 2026-08-10, Julia Shao Collins"
34,Recap regenerates per consultation; multiple recaps per client,"The recap is not locked after the first appointment - it regenerates per consultation and is tied to scheduled, non-cancelled consultation appointments only. A client may hold multiple recaps across collections and multiple customization proposals simultaneously. A real client with two valid, non-test consultation appointments is needed to test second-recap generation. Note: we don't always update recap after the first appointment, but make sure that recaps are there on an appointment basis not a customer basis. In the order summary mock up there are tabs for order recaps based on the appointment day.",2026-08-10T00:00:00,Singular x Cobalt,,Open,From Julia,,,"Granola - Danielle Frankel Studio Stand Up, 2026-08-10"
35,Central cross-platform workflow diagram,"Team agreed to build a single workflow diagram mapping every step across Cobalt, Singular, Airtable and Shopify - inputs, outputs, and which platform owns each step. On Aug 13 a Singular team member confirmed they were already working on a comprehensive workflow diagram covering the day-to-day tasks Julia's team needs.",2026-08-10T00:00:00,Singular x Cobalt,,In Progress,From Julia,,,"Granola - Danielle Frankel Studio Stand Up, 2026-08-10; Slack - #danielle-frankel-developmen, 2026-08-13"
36,Order summary page should read like an invoice,"The order summary state of the recap page should read like an invoice: itemising everything being purchased including customizations; an alterations section covering the in-house process, cost tiering if alterations were not purchased upfront, and the two-month window; a note that Danielle Frankel does not formally recommend outside tailors although the associate can advise; fulfilment information covering how the client is notified when the gown is ready plus a shipping address reminder; and an upsell nudge if there is no veil or shoes on the order. Julia to write the content and send to Nick - most of it already exists in the FAQ. Julia to send direct feedback",2026-08-21T00:00:00,Cobalt,,Open,From Julia,,,"Granola - Airtable Sync - Cobalt <> DF, 2026-08-21, Julia Shao Collins and Nick Rose"
37,"Recap page states - pre-sale, submitted, and payment link","The recap page is pre-sale: the client confirms styles and customizations and notifies the sales associate, who then creates the draft order and sends the payment link by personal high-touch email. After submission the page shows an 'information received, your associate will be in touch' state; once the order is ready a new state on the same page shows the order summary and Shopify payment link in an accordion layout with the link at the top. A 'Book an appointment' button to be added to the submit page.",2026-08-21T00:00:00,Cobalt,,In Progress,From Julia,,,"Granola - Airtable Sync - Cobalt <> DF, 2026-08-21, Julia Shao Collins and Nick Rose"
38,Recap must handle appointments with no photos or no styles,"Julia noted that not all sales associates take appointment photos - where there are none, that section of the recap should disappear, with a note telling clients not to post photos on social media. Similarly some clients come in for accessories-only appointments, so the styles section must also be dynamic and still look correct when there are no accessories or only accessories.",2026-08-17T00:00:00,Cobalt,,In Progress,From Julia,,,"Slack - #danielle-frankel-developmen, 2026-08-17, Julia Shao Collins; Slack - #df-cobalt-website, 2026-08-19, Nick Rose"
39,Handover documentation and training materials,"Cobalt to produce a documentation guide with Loom walkthroughs covering backend and automation logic; Singular to cover interface-side documentation. Julia will run sales training herself in mid-to-late September using those transition documents, diagrams and videos. An Arcade walkthrough video from the sales associate's point of view to be created once the build is further along.",2026-08-19T00:00:00,Singular x Cobalt,,Open,From Julia,,,"Granola - Cobalt | Danielle Frankel: Weekly Sync, 2026-08-19; Granola - DFS - Cobalt X Singular, 2026-08-17"
40,Data accuracy is the gating priority over features,"Julia stated repeatedly that Airtable must be a carbon copy of its source-of-truth platforms - Apparel Magic, Shopify and Acuity - before anything else matters, and asked for every field to be pressure-tested across all sources while she is away. Both teams agreed to sequence data accuracy first and deprioritise cosmetic work and new features. Singular targeted resolving 50-60% of feedback items before Julia's departure and ran a war room to do it. Roughly 60-70% of the issues reported overnight on Aug 19 were traced to Acuity and Shopify rather than Singular's code. This is the #1 Priority, please look at fields with a fine tooth comb and make sure the functionality is there and its reflecting accurate data",2026-08-19T00:00:00,Singular x Cobalt,1. Critical,In Progress,From Julia,,,"Slack - #danielle-frankel-developmen, 2026-08-19, Julia Shao Collins; Granola - Danielle Frankel Studio Stand Up, 2026-08-20"
41,Deliberating-phase flags to be pruned by cutoff date,"Deliberating-phase flags to be removed for clients created before an October 1st cutoff date. The 'No room assigned' flag is to remain, as it is still useful. ",2026-08-21T00:00:00,Singular,,Open,Granola - DFS - Cobalt X Singular,Axel,,"Granola - DFS - Cobalt X Singular, 2026-08-21"
42,Pipeline page scope limited to simple actions,"Agreed that the Pipeline page is for general client information and simple actions only - updating a wedding date, confirming alterations. Complex workflows such as Order Ready triage belong in dedicated interface pages.",2026-08-07T00:00:00,,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-07 3:42pm, Axel Nava"
43,Add Reason Dropdown and Notes to Did Not Convert,"Add a reason dropdown (e.g. ""went with another designer"") plus a free-text notes column. Lives on the Did Not Convert interface, distinct from the Change Log. Logged as: Suggestion - Tracking > Did Not Convert.",2026-08-19T00:00:00,,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-19 3:46pm, Julia Collins"
44,Add Column Header Tooltips Explaining Pipeline Stages,"Add hover tooltips on each Pipeline column header explaining what the list contains, scoped to the selected period: waitlist - added to waitlist; pre-appointment - booked an appointment; deliberating - attended and checked out of their first appointment; sold - sold; order ready - 50% picked (or whatever threshold is agreed); in alterations - had an alterations appointment booked; in fulfillment - order is ready for fulfillment. Logged as: Suggestion - Daily Ops > Pipeline.",2026-08-19T00:00:00,Singular,,Done,Airtable table (sandbox),Alonso,,"Airtable feedback table (sandbox), 2026-08-19 3:53pm, Julia Collins"
45,"Change ""Missing Data"" to ""Must Assign"" for Leads","Change the ""Missing Data"" language to ""Must Assign"" for Room and Alterations Lead. Reception should be able to check clients in regardless of missing data, so they can post to the #client-appointment-arrivals Slack channel. Logged as: Suggestion - Daily Ops > Appointments. NOTE: closely related to existing tracker item #32 (Appointments page Missing Data flags too noisy) - may be the same underlying ask.",2026-08-19T00:00:00,Singular,,In Progress,Airtable table (sandbox),Alonso,,"Airtable feedback table (sandbox), 2026-08-19 5:45pm, Julia Collins"
46,Final Fitting Should Appear in Both Filters,Final Fitting & Pick Up should fall into both the Alterations Appointment Category filter and the Fulfillment category filter. Logged as: Suggestion - Daily Ops > Appointments.,2026-08-19T00:00:00,,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-19 5:48pm, Julia Collins"
47,Follow Up Flag Sync With Accounts Workflow,"In the Pipeline detail view, the ""follow up sent"" flag needs to connect to the new workflow for sending the follow-up to the accounts page - it should turn green once the follow-up is live on the accounts page and once it is confirmed/locked by the sales associate. Logged as: Suggestion - Daily Ops > Pipeline.",2026-08-19T00:00:00,,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-19 5:49pm, Julia Collins"
48,Make Phase Colors Consistent Across Views,Make the colour for each phase consistent across all interfaces - e.g. sold is always green - especially in the list view of the Pipeline interface. Logged as: Suggestion - General (no specific interface).,2026-08-19T00:00:00,Singular,,Open,Airtable table (sandbox),Alonso,,"Airtable feedback table (sandbox), 2026-08-19 5:58pm, Julia Collins"
49,Favorite Styles Dropdown Jumps and Will Not Select,"After picking the first favourite style, the dropdown stops working properly - it jumps to a random part of the list and a second favourite style cannot be selected or added. Logged as: Bug Report - Daily Ops > Recap.",2026-08-19T00:00:00,Singular,,Open,Airtable table (sandbox),Alonso,,"Airtable feedback table (sandbox), 2026-08-19 6:03pm, Julia Collins"
50,Only Show Customized Gown Styles for Customization Requests,"The customization request picker should only offer gowns with ""- customized"" in the style name, plus the styles ""custom"", ""custom gown"" and ""customization"". Logged as: Suggestion - Daily Ops > Recap.",2026-08-19T00:00:00,Singular,,Done,Airtable table (sandbox),Alonso,,"Airtable feedback table (sandbox), 2026-08-19 6:04pm, Julia Collins"
51,Show Favorite Styles Tried On In Recap (non-editable),List the favourite styles from Acuity in the recap pop-up as a reminder of what the bride tried on. This should not be editable there. Logged as: Suggestion - Daily Ops > Recap.,2026-08-19T00:00:00,Cobalt,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-19 6:13pm, Julia Collins"
52,Order Popup Glitch and Missing Client History,"Clicking an order glitches - it either does not open, or opens and does not stay open. Separately, when clicking a client order it should be possible to see their other orders below, including total spend, so that multiple orders attached to one client (e.g. alterations paid for after the gown) show in the pop-up. Logged as: Bug Report - Daily Ops > Sold Orders.",2026-08-20T00:00:00,,,Open,Airtable table (sandbox),,,"Airtable feedback table (sandbox), 2026-08-20 11:55am, Julia Collins"
53,Clarification Needed on Sample Tracker Activity,Open question logged against the Sample Tracker asking what is happening on the interface. No further detail recorded in the entry and no answer captured in any source reviewed. Logged as: Question - Tracking > Sample Tracker.,,Singular,,,,,,
